,title,url,thumbnail_url,channel,description,views
17,THOR LOVE AND THUNDER TRAILER BREAKDOWN! Easter Eggs & Details You Missed!,https://www.youtube.com/watch?v=fqdidduTuZM,,New Rockstars,Thor Love and Thunder Trailer frame-by-frame analysis by New Rockstars' Erik Voss! Check out Truebill & download for free here: http://truebill.com/newrockstars Thor Love and Thunder's trailer...,"789K views
16 hours ago"
18,"Face Your Fear, You Win!",https://www.youtube.com/watch?v=lNtOxZFiMAU,,Airrack,Follow me on IG! INSTAGRAM ▶️ https://urlgeni.us/instagram/jBHg FOLLOW MY FRIENDS: Austen: https://www.youtube.com/c/AustenAlexander Mack: https://www.instagram.com/mack Tyler: https://www.you...,"2.2M views
17 hours ago"
19,Fredo Bang - BOP (Official Video),https://www.youtube.com/watch?v=rd9Q_t_xHl4,,Fredo Bang,Stream/Download https://fredobang.lnk.to/TwoFaceBang2 Text “Fredo Bang” to 225-244-6998 for Exclusive Updates 🦍 Follow Fredo Bang: Instagram: https://instagram.com/fredobang Facebook:...,"114K views
15 hours ago"
20,"#6 NUGGETS at #3 WARRIORS | FULL GAME HIGHLIGHTS | April 18, 2022",https://www.youtube.com/watch?v=VCpV9vYjwHc,,NBA,"Led by Stephen Curry’s 34 PTS, the Golden State Warriors defeated the Denver Nuggets in Game 2, 126-106. Jordan Poole added 29 PTS, 5 REB and 8 AST for the Warriors in the victory, while...","2.3M views
1 day ago"
21,Xenoblade Chronicles 3 - Release Date Revealed – Nintendo Switch,https://www.youtube.com/watch?v=Rt9pfN-2S0k,,Nintendo,"Why are Noah and his friends being pursued as ""monsters"" by the forces of the two nations they hail from? Witness the introduction of the mighty Ouroboros forms, the oversized entities your...","599K views
1 day ago"
22,"New Elden Patch 1.04 Buffs, Nerfs & Changes - Rivers of Blood Stealth Nerf & Colossal Weapons Buffs",https://www.youtube.com/watch?v=M9ZNHKNJ9Q4,,Arekkz Gaming,"The new Elden Ring 1.04 patch just dropped and there are some huge buffs, nerfs and changes! Elden Ring patch notes 1.04 detail buffs to colossal weapons, spells and incantations, and even...","534K views
1 day ago"
23,Camila Cabello Carpool Karaoke,https://www.youtube.com/watch?v=rr0NeIWItW0,,The Late Late Show with James Corden,"James Corden asks his pal Camila Cabello to help him carpool through the LA traffic and the two sing her big hits from ""Havana"" to ""Don't Go Yet"" to ""Bam Bam."" And James asks Camila about both...","2.5M views
1 day ago"
24,How Cyberwarfare Actually Works,https://www.youtube.com/watch?v=U_7CGl6VWaQ,,Wendover Productions,"Sign up for the Nebula/CuriosityStream bundle deal for only $14.79 a year here: http://CuriosityStream.com/Wendover If you'd like to learn more about this topic, ""This Is How They Tell Me...","517K views
23 hours ago"
25,Pranking Ghost Experts With Fake Ghost!,https://www.youtube.com/watch?v=Zv2sLtuV06Q,,Kai Cenat,MERCH: https://mafiaworldwideclothing.com/ Make Sure You keep Up With All Of My Social Medias: Instagram: https://www.instagram.com/kaicenat/ Twitter: https://twitter.com/KaiCenat Twitch:...,"720K views
1 day ago"
26,Dracthyr Evoker & Dragonriding Preview | World of Warcraft: Dragonflight,https://www.youtube.com/watch?v=iQkwYB5B3Es,,World of Warcraft,"Meet the Dracthyr Evoker, the new race and class coming to World of Warcraft: Dragonflight. Learn more at worldofwarcraft.com #Dragonflight #Warcraft ► Latest WoW news:: http://worldofwarcraft....","535K views
21 hours ago"
27,GOLDBRIDGE! LIVERPOOL 4-0 MANCHESTER UNITED Match Reaction,https://www.youtube.com/watch?v=wncFgdm1dyU,,The United Stand,Liverpool 4-0 Manchester United! Mark Goldbridge reacts to an embarrassing defeat at Anfield. Get the latest Man Utd news on The United Stand. Player Ratings Vote here https://www.theunitedstand.co...,"481K views
Streamed 17 hours ago"
28,It missed us by 9 days,https://www.youtube.com/watch?v=85-p9EIEVUA,,Physics Girl,"Solar superstorms and Aurora Science in Alaska For your chance to win the Tesla Model X Plaid and support a great cause, enter at https://www.omaze.com/physicsgirl Support Physics Girl videos...","1.3M views
1 day ago"
29,JJ Redick thinks the Warriors' lineup is the 3rd iteration of their championship window | First Take,https://www.youtube.com/watch?v=D6Qo1kPsMQ0,,NBA on ESPN,JJ Redick thinks the Warriors' lineup is the 3rd iteration of their championship window | First Take Stephen A. Smith and JJ Redick react to the Golden State Warriors' dominant win over the...,"179K views
23 hours ago"
30,"DRAGON BALL LEGENDS ""REVEALS ＆ STUFF #22""",https://www.youtube.com/watch?v=U-uVrIjVFIo,,Bandai Namco Entertainment,"This time, Tune in and test your knowledge in a special quiz all about the basics of Legends! Plus, we have some exciting info to share on new characters and more! You won't want to miss it!...","179K views
23 hours ago"
31,A LIT GRWM IN VEGAS!!,https://www.youtube.com/watch?v=VyzR3G95qX8,,Alondra & Elsy,HI GUYSSSSSS WELCOME BACK TO OUR MONTHLY SUBSCRIPTION!! WATCH OUR LATEST VIDEO FROM 10 YRS AGO LMAO! https://youtu.be/wrr1FGKf0Z8 Shop our lashes! http://www.thelashbarla.com http://www.inst...,"195K views
1 day ago"
32,Inter 3-0 Milan | Martinez fires Nerazzurri into the final | Coppa Italia Frecciarossa 2021/22,https://www.youtube.com/watch?v=ie7nolEDpCw,,Serie A,A statement win for Inter who dominated Milan at San Siro to book their place in the final with Martinez getting twice on the scoresheet and Gosens opening his account with Inter jersey | Coppa...,"1.5M views
17 hours ago"
33,Inside Chlöe Bailey's Elegant L.A. Apartment | Open Door | Architectural Digest,https://www.youtube.com/watch?v=SVO-iq2bjTQ,,Architectural Digest,"Today AD is welcomed to Los Angeles by singer-songwriter and actress Chloë Bailey for a tour of her elegant home. Working with West Elm, Chloë designed her first adult apartment to serve...","368K views
1 day ago"
34,Police Interrogations: Last Week Tonight with John Oliver (HBO),https://www.youtube.com/watch?v=obCNQ0xksZ4,,LastWeekTonight,"John Oliver discusses the tactics that can make police interrogations so damaging, particularly for the innocent, and why he’s more of a Lorelai than a Rory. Connect with Last Week Tonight...","2.6M views
2 days ago"
35,Race To Miami | Sergio Perez takes a Road Trip from New York to Miami,https://www.youtube.com/watch?v=S7oMM6o96UU,,Oracle Red Bull Racing,"As the excitement grows around the Miami Grand Prix, Checo takes a trip through the city streets of New York and the swampy Everglades to finally arrive at the brand-new circuit. Discover...","761K views
1 day ago"
36,Bruno Mars & Anderson .Paak as Silk Sonic - 777 (64th GRAMMY Awards Performance),https://www.youtube.com/watch?v=-nt_u4vo-DI,,Bruno Mars,Bruno Mars & Anderson .Paak as Silk Sonic - 777 (64th GRAMMY Awards Performance) ‘An Evening with Silk Sonic’ available now: https://SilkSonic.lnk.to/AEWSSID 🔔 Subscribe for the latest...,"463K views
1 day ago"
37,E.L.F. x Dunkin' Donuts Makeup.. Is It Jeffree Star Approved?!,https://www.youtube.com/watch?v=zCyh-hb6s_c,,jeffreestar,"Hi everybody, how are ya? Welcome BACK to my channel... Today we're reviewing and testing out the brand new E.L.F. x Dunkin Donut's makeup collaboration!!! 💜 SHOP the STAR LOUNGE 'Purple...","577K views
1 day ago"
38,i miss being a YouTuber,https://www.youtube.com/watch?v=8H771jAxq9E,,CaseyNeistat,CHECK OUT DAN'S CHANNEL - https://www.youtube.com/c/DanMace music; Andrew ApplePie - https://soundcloud.com/andrewapplepie Ponder's Music - http://bsta.rs/1fy855,"866K views
1 day ago"
39,Game Theory: I'm So Hungry SO̶̍̅͘͜ H̵͂̑̃͊u̴N̴͓̉̃̈́̑G̴̎r̴Y̶̏ s̶͂O̶̞̍̅͘͜ ȟ̵̌̑U̷͑͒̒͠nG̴͊̈́̅͑̚R̶͝y̴̾͑͌̀̔̽,https://www.youtube.com/watch?v=QNPGTGCJkdY,,The Game Theorists,SUBSCRIBE for every TASTY Theory! ► https://goo.gl/kQWHkJ Welcome back to our analysis of the lore of Cooking Companions. This cute cooking game is hiding a LOT of dark secrets. We covered...,"2.2M views
2 days ago"
40,Food Theory: Should I DELETE This Video?,https://www.youtube.com/watch?v=BBE3Jau3UVY,,The Food Theorists,"SUBSCRIBE for Every Theory! ►► https://bit.ly/2CdCooV Theorists, we need to talk. My last video on milk was called out by another creator for spreading false information. Ann Reardon,...","2.1M views
2 days ago"
41,"LAST TO LEAVE $300,000 BOAT KEEPS IT!!",https://www.youtube.com/watch?v=hJCcpDvwpYw,,Alexa Rivera,This got super crazy! Don't forget to LIKE and SUBSCRIBE!! Thank you to MTV's Ex on the Beach for sponsoring this video. Watch new episodes of Ex on the Beach on Thursdays at 8/7c only on MTV....,"1.8M views
1 day ago"
42,6ix9ine Brings Hella Goons to Meets Wack 100 and Hassan Campbell: Off The Record Podcast - BTS,https://www.youtube.com/watch?v=vs713JgXiko,,DJ Akademiks,Full Podcast drops tomorrow.,"685K views
2 days ago"
43,Business Parks Suck (but they don't have to),https://www.youtube.com/watch?v=SDXB0CY2tSQ,,Not Just Bikes,"I've spent a lot of my life in business parks, and the vast majority of them suck. But that's just the way it has to be, right? That's what I thought, until I had a meeting in a business park...","434K views
1 day ago"
